Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Building a Product from Scratch,"Do you have a billion-dollar idea for a business or product but don’t know where to start? Or maybe you’re a product manager tasked with the hefty responsibility of building a new product at your company and feeling lost? In this course, Silicon Valley entrepreneur and venture capitalist Charu Sharma teaches you how to build a product from scratch, step by step. Using both real-world and fictional examples, Charu takes you through the product development journey, from your initial vague idea for a product, to understanding your potential product-market fit, to building and testing a prototype, and aligning with key stakeholders. By the end of this course, you will be equipped with the knowledge and best practices to turn your product dreams into reality.",Course,2022-05-06 06:06 UTC,N/A,false,N/A,
Python: Working with REST and Web Data,"Python is a powerful tool for working with data stored on web servers. In this course, Joe Marini demonstrates how to use Python to send, retrieve, and deliver web-based data to users. Learn how XML and JSON are used to store and exchange data, see how to use Python to retrieve XML and JSON data over the web, and find out how to parse that data using a range of different Python modules and features. Joe also shows how to fetch data from URLs and retrieve and send data via HTTP using the Python Requests library.",Course,2019-04-02 00:59 UTC,N/A,false,N/A,
Public Speaking for Non-Native English Speakers,"Speaking in public isn't easy for most people, and if English isn’t your first or second language, it might be even more challenging. Designed specifically for non-native English speakers, this course provides practical strategies and techniques to increase clarity and confidence when communicating in English. Executive communication coach and professor Dr. Peter Novak embraces linguistic and cultural diversity in the workplace. Instead of focusing on your accent, Dr. Novak encourages you to shift your efforts towards listener-friendly delivery and embrace your multilingual self. He covers strategies to identify and reduce accent bias, plus specific techniques to increase understandability and generate confidence. Dr. Novak presents a step-by-step guide on how to score a script for delivery, so you can focus on making a better connection with the audience. Strengthen your delivery and build your confidence with these easily integrated approaches to public speaking.
<br><br>
Note: This course was created by the Strictly Speaking Group. We are pleased to host this training in our library.",Course,2023-04-20 10:56 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis (2016),"Do you rely on IT to get you the data you need? Do you wish you could retrieve it yourself? <em>SQL for Data Reporting and Analysis</em> teaches you how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database; you'll be able to manipulate it: merging it, multiplying it, grouping it, and relabeling it to get just the report you want.<br><br>

Join Emma Saunders as she shows you how to design and write simple SQL queries for data reporting and analysis. Review the different types of SQL, and then learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Learn a bit about data types and database design. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, Emma shows how to save your queries as views, so you can run them again and again.",Course,2018-08-02 12:24 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-09-13 16:27 UTC,N/A,false,N/A,
Advanced Python (2018),"Develop your Python programming skills. Python is a great choice for building all kinds of applications, but to fully take advantage of its power and flexibility, you need to master all its advanced functionality. In this course, you can learn how to leverage next-level Python features such as object-oriented special class methods, use logging to track performance and user activity, see how to port code from Python 2 to 3, and make your code more efficient and easier to read and maintain. Instructor Joe Marini also shows how to manipulate data, build custom classes and functions, create lists, and write more elegant, optimized code.",Course,2019-04-02 12:38 UTC,N/A,false,N/A,
Nano Tips to Find the Right Executive Coach with Elayne Fluker,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in seconds. In this installment, executive coach Elayne Fluker helps leaders assess their goals and then define a strategy for finding the right executive coach to meet their needs. Learn the questions you should ask your executive coach, how to define executive coaching objectives, how to evaluate chemistry and fit, and more.",Course,2024-11-04 05:43 UTC,N/A,false,N/A,
Scrum: Advanced (2017),"Once you've mastered the basics of scrum, you're ready to take a deeper dive into the popular framework. In this course, learn advanced scrum techniques that can make you and your team even more effective. Kelley O'Connell kicks off the course by reviewing some scrum fundamentals, and explaining how to maximize the effectiveness of your product owner and scrum master roles. Next, Kelley goes into the product owner role, discussing specific ways that you can enhance your product owner skills to make your products unbeatable. She then explores the scrum master role, providing ways that scrum masters can fine-tune their techniques to become better team advocates, and remove impediments that stand in the way of their team's success.",Course,2021-04-19 13:56 UTC,N/A,false,N/A,
How to Perform Business Analysis in a Virtual Environment,"Taking your business analysis work from the office to a virtual space can seem like a big leap. But the skills you developed in your physical workplace can also help you excel in a virtual one. In this course, join instructor Jamie Champagne as she shows how to conduct analysis in virtual environments. Using practical examples, she explains how to tailor your analysis techniques and approaches to be successful in these new digital domains. Jamie walks through how to successfully plan, execute, and utilize outputs of valuable analysis techniques including process modeling, context modeling, brainstorming, prioritization, decision modeling, data modeling,  and virtual prototyping. Upon wrapping up this course, you'll have the knowledge you need to perform analysis when working in a remote or virtual environment with the same success as you would in person.",Course,2021-02-28 16:55 UTC,N/A,false,N/A,
AutoCAD 2018 Essential Training,"AutoCAD 2018 is a powerful designing and drafting software used to create precise 2D and 3D designs. In this beginner's course, learn how to get started with AutoCAD. Shaun Bryant covers the basics of the user interface, showing how to use the ribbon, change workspaces, use the ViewCube, and work with the Quick Access Toolbar. Shaun also demonstrates how to manage files and options, navigate your drawings, and draw and modify objects. Plus, he explains how to draw more accurately with Grid and Snap, use text and annotations to help others get a clearer understanding of your designs, and work with the native DWG file type. Upon wrapping up this course, you'll be prepared to use AutoCAD competently in any industry—architecture, engineering, construction, manufacturing, or product design.",Course,2018-12-07 01:39 UTC,N/A,false,N/A,
Communication for Product Managers,"As a product manager, you serve as the  diplomat of the product team. You're tasked with communicating with stakeholders inside the product team, outside the product team, and even outside the company. By understanding how to communicate with each of these stakeholders in terms of what they care about, you'll be able to build better products and get more accomplished.<br><br>In this course, Jay Clouse reviews the roles and responsibilities of the typical product team and explains the nuances of communicating with each group of stakeholders, including senior leaders, company partners such as sales and marketing, and customers themselves. The course includes real-life scenarios that show these communication strategies in action during phases of product management—including customer discovery, road mapping, and sprint planning.",Course,2020-11-20 10:19 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2020-10-11 18:45 UTC,N/A,false,N/A,
Data Science Foundations: Python Scientific Stack (2017),"Data science provides organizations with striking—and highly valuable—insights into human behavior. While data mining can seem a bit daunting, you don't need to be a highly-skilled programmer to process your own data. In this hands-on course, learn how to use the Python scientific stack to complete common data science tasks. Miki Tebeka covers the tools and concepts you need to effectively process data with the Python scientific stack, including Pandas for data crunching, matplotlib for data visualization, NumPy for numeric computation, and more.",Course,2019-04-11 12:30 UTC,N/A,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2023-11-16 05:52 UTC,N/A,false,N/A,
Python: Programming Efficiently (2017),"Cut down on your development time by learning how to write elegant code in an efficient manner, specifically in Python—the popular and pragmatic object-oriented language. Michele Vallisneri explains how to make your Python code more expressive and concise, and leverage the most powerful features of the language. He shines a spotlight on some of the strongest third-party packages you can take advantage of, discusses object-oriented and functional programming, and shares strategies for improving the performance of your code. Michele illustrates these concepts with many intriguing examples, showing how to make 3D images and videos using photographs taken by a NASA rover on Mars, map the rover's progress through Martian topography, draw and paint fractals, and more.",Course,2019-04-09 10:30 UTC,N/A,false,N/A,
Nano Tips to Sharpen Your Critical Thinking with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to become a better critical thinker, using practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn how to scrutinize information like an investigator, posing Socratic questions and pushing the boundaries of your perspective. Challenge your assumptions to make better, smarter, more disruptive decisions with tools and techniques to enhance your focus and sense of clarity. Along the way, Shadé gives you pointers on how to avoid overthinking things to improve your chances of success in both your personal and professional life. By the end of this course, you’ll be prepared to create more inclusive, equitable spaces for open dialogue, ideation, and critical voice.</p>",Course,2023-11-27 07:38 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2021-11-28 03:58 UTC,N/A,false,N/A,
Improving Your Leadership Communications,"To be an effective leader, you need to learn how to communicate clearly. In this course leadership expert Colleen Hauk shows you how to become a precise and powerful communicator. Colleen first explains how to set yourself up for success by knowing the basics and exploring emotional intelligence. She then provides guidance on creating a connection and tapping into the senses of your audience. She also shows how to engage in dialogue, remain curious, and align your communication to specific goals. Finally, Colleen shares tips on effective communication in different circumstances, from one-on-one meetings, to group discussions, and virtual meetings. Upon completing this course, you’ll feel confident in your ability to communicate effectively as a leader.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-06-25 17:27 UTC,N/A,false,N/A,
Working on a Cross-Functional Team,"Most organizations are looking for ways to improve how employees work in teams. A standard functional organization encourages people to focus on their own individual tasks. Cross-functional teams, on the other hand, bring everybody together to deliver the whole product. You no longer depend on rigid organizational lines, and instead focus on tighter collaboration and greater employee empowerment. In the course, Doug Rose talks about the importance of understanding cross-functional teams and how they allow employees to work better together. Plus, see how to overcome common challenges and maximize your team's performance. As you'll learn, cross-functional teams can be more productive, as well as a fun and rewarding way to work together to quickly deliver your product.",Course,2021-09-16 14:22 UTC,N/A,false,N/A,
Excel: PivotTables in Depth (2018),"Many Excel users have a fear of PivotTables. This course provides a thorough introduction to this powerful and overlooked feature and, for more advanced students, shows how to use macros and the data model to extend PivotTables even further. Instructor Curt Frye demystifies PivotTables, using real-world examples that empower students to make the most of their time with the program and to analyze their data effectively.  Learn how to evaluate and summarize data, sort and filter results, format your PivotTables with styles and conditional formatting, and visualize your analysis with PivotCharts.<br><br>

Note: This course was recorded in Office 365. However, anyone using Excel 2019, Excel 2016, and even prior editions of Excel should be able to follow along with the course contents.",Course,2021-07-21 11:44 UTC,N/A,false,N/A,
Technology for Product Managers,"Product managers must know technology basics. They need to have the vocabulary to speak to engineers, UX designers, and executives-and translate messages between these very different stakeholders. A product manager should know how the internet works, how front end differs from back end, what the major programming languages are, and why web and mobile developers are so in demand. This course provides an overview of the basics, including terminology and trends that will affect your work and collaboration with your team.<br><br>

Instructor Cole Mercer reviews the fundamental building blocks of modern software applications-from the web that connects all the working parts, to the data, users, and the build tools that developers use every day. He discusses the differences between desktop, web, and mobile development, and reviews the role of version control systems in deployment and release.",Course,2018-08-14 08:06 UTC,N/A,false,N/A,
Leading with Innovation,"No company can survive without innovation. Large or small, new or old, for profit or nonprofit, all organizations need to keep morphing to succeed. But how do you nurture nonstop innovation? Strategy experts Anil Gupta and Haiyan Wang outline the core logic of innovation and show how leaders at many companies and nonprofits—including Apple, Amazon, and Google—nurture innovation without losing control. They outline the multiple ways—including design thinking, lean startup, and collaborative innovation—in which any organization can innovate. They also show how companies can change the rules of the game by dramatically redefining the target customer, rethinking the value proposition for the customer, and/or reengineering the value chain. And, they discuss the why and how of digital transformation and social innovation. Use these strategies to uncover new pathways to innovation at your organization.",Course,2024-03-05 09:39 UTC,N/A,false,N/A,
Product Management Tips,"Get tips, tricks, and valuable insights in this series on project management. Instructor Cole Mercer addresses key skills and trending topics that product managers need to know to maximize their time, energy, and focus. Learn why you have to get out of the office and talk to users, what to do to develop the ""PM mindset,"" and how to structure a product management or project management team. Plus, learn the difference between agile, lean, scrum, and Kanban, and the roles of product manager, product owner, and project manager. Cole also provides tips for collaborating better with stakeholders, hiring and managing product managers, and leading productive meetings.",Course,2018-08-10 02:34 UTC,N/A,false,N/A,
Safeguarding Customer Credit Card Data: PCI Compliance (2019),"How are credit card payments processed behind the scenes? And when a credit card is stolen, what usually happens to the compromised data? In this course, Laura Louthan answers these questions and more, explaining how payments get from merchants to banks, as well as the risks associated with the theft or compromise of credit card data—both to customers and banks. Laura highlights the various entities involved in payment processing and how they protect against card data loss. She covers the difference between in-store and online payments and how chip cards have increased online fraud. Plus, learn about the different ways that organizations need to report compliance to the Payment Card Industry (PCI) Security Standards Council, and how your company can move towards full compliance.",Course,2024-01-14 20:25 UTC,N/A,false,N/A,
How to Be an Effective Project Sponsor,"The project sponsor is one of the most vital roles in any project, especially those that are strategic or transversal. The more complex the project, the more critical the sponsor role and the more time it demands. In our new world driven by change, soon executives and managers will spend at least half of their time on projects. Yet, according to recent research carried out jointly with <i>Harvard Business Review</i>, only 13% of executives had received specific training on how to become a successful project sponsor. In this course, thought leader Antonio Nieto-Rodriguez covers the key responsibilities and best practices of project sponsorship. Antonio explains the project economy and how it is challenging and affecting leaders. Then he reinvents and defines what a project, project management, and a project sponsor are. He covers in depth the role and the steps that an effective project sponsor needs to accomplish to lead projects successfully and generate value for their organizations.",Course,2021-12-23 07:59 UTC,N/A,false,N/A,
Fundamentals of Sustainable Supply Chains,"<p>Sustainability is a major concern across all realms of commerce these days.
And as it turns out, the majority of greenhouse gas emissions are found in the supply chain: Product sourcing, manufacturing, distribution, and delivery have a huge impact on air, soil, and water. So when it comes to sustainability, it’s largely the responsibility of supply chain professionals to identify areas of impact where small changes can make a big difference. In this course, Sarah Barnes-Humphrey shares case studies, real world examples, and lessons from her 20 years of experience to give you practical advice on what you need to do to start building an effective and measurable sustainability plan that your whole business buys into. As Sarah shows, a thorough sustainability program won’t only have a positive environmental impact, it also touches on areas like human rights, ethical labor practices, and anti-corruption. Plus, it can reduce costs, create efficiency, mitigate risk, and increase brand value. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-procurement-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2022-05-13 10:09 UTC,N/A,false,N/A,
Overcoming Cognitive Bias (2020),"The best decisions are made when you fully understand your bias. In this course, listeners can learn about cognitive bias and how it hurts our ability to think rationally and make effective decisions. Dr. Michael Shermer, a prominent professor and bestselling author, shares ten common bias people often fall victim to. Explore confirmation bias, attribution bias, and authority bias, among many others. Once your bias is understood, better decisions can be made.<br><br>

<br><br>This audio-only course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2021-04-19 21:12 UTC,N/A,false,N/A,
Java Practice: Collections,"<p>Java is a versatile, object-oriented programming language that is designed to run on a wide variety of platforms. Any machine that has a Java Virtual Machine, or JVM, can run Java apps. For that reason, Java is commonly used in a wide range of applications, including web, mobile, and desktop. Many of the apps you know and love were likely written in Java! In this course, instructor Todd Perkins, who has developed more than a dozen popular apps and games, uses a series of practical challenges to test your knowledge of Java collections and improve your programming problem-solving skills.</p>
 
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-04-03 18:21 UTC,N/A,false,N/A,
C# Practice: Attributes,"Looking to get up to speed with attributes in C#? This course was made for you. Join senior LinkedIn Learning instructor Walt Rischer in this hands-on, interactive, skills-first coding course designed uniquely for intermediate C# developers. Explore .NET attributes skills in C# to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Walt helps you develop your skills as a C# programmer with six specific, query-focused coding challenges. Practice using obsolete attributes, custom attributes, custom properties, custom constructors, attribute restrictions, and reflections.",Course,2025-03-01 04:35 UTC,N/A,false,N/A,
"Thinking, Fast and Slow (Blinkist Summary)","You have two ways to react: instantaneous reactions and plans. This audio-only course shows you various ways that your mind works. Learn how you can steer clear of errors and improve your intelligence by not letting your brain slip into laziness. Learn about how you are not always in control of your thoughts and biases and how the halo effect and confirmation bias can influence decisions. Find out how your brain uses mental heuristics and why statistics can be so difficult to understand. Discover the differences between the experiencing self and the remembering self, as well as ways to reduce cognitive strain and take chances. Learn about utility theory, gut feelings, and how to overcome your natural overconfidence in your mental imagery.
<br><br>
Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=COURSE TITLE""target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2021-11-23 10:57 UTC,N/A,false,N/A,
Data Visualization: Best Practices,"Media and marketing efforts often rely on data visualizations to prove a point quickly. But poorly designed visualizations can be misleading and can even become a source of global scrutiny. To succeed in design and marketing today, you need to know how to interpret and properly visualize data. This course, developed and led by Killer Infographics CEO, Amy Balliett, walks you through the ins and outs of creating accurate and compelling data visualizations. She shows you how to identify and shape your data with key questions, as well as how to avoid common data visualization mistakes. Amy covers creating bar graphs, pie charts, line graphs, and area graphs in Adobe Illustrator and goes over how to better contextualize your data visualizations with labels and color. Using these tips, you'll learn how to stand out from the crowd and create charts and graphs that combine precision with visual appeal.",Course,2023-02-05 13:57 UTC,N/A,false,N/A,
SQL Server Fundamentals: Master Basic Query Techniques,"Do you want to learn about SQL but aren’t sure where to start? In this beginner-level course, instructor Julianne Thouin covers basic concepts of relational database design and explains how to write simple SELECT statements using joins and proper filtering. Julianne explains what SQL Server is and what it is used for. Next, she shows how tables in a relational database relate to one another through surrogate, primary, and foreign keys. Julianne teaches you how to tackle the most basic query possible. She explains how AND and OR logic applies to filtering queries on more than one data point, then discusses INNER joins and OUTER joins. Julianne covers how to use subqueries for filtering your results. She walks you through some commonly used examples of built-in functions. In conclusion, Julianne shows you how aggregate functions work using the GROUP BY and HAVING clauses. Practice what you learn with hands-on challenges!",Course,2021-03-11 10:11 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Transportation Problems,"<p>Microsoft Excel can be a secret advantage when it comes to solving complex supply chain challenges. Follow along with instructor Curt Frye as he shows how to use the Excel Solver add-in to minimize transportation and transshipment costs within a supply chain. Curt covers a range of topics, including how to analyze fixed costs and facility opening decisions, enforce level of service constraints, and perform scenario analysis. He also provides problem scenarios for you to solve, then goes through the solutions for each. After watching this course and working through the examples, you'll be able to describe the techniques specialized supply chain programs use to arrive at their results.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2021-01-24 13:53 UTC,N/A,false,N/A,
Intermediate SQL for Data Scientists (2021),"There is an increasing need for data scientists and analysts to understand relational data stores. Organizations have long used SQL databases to store transactional data as well as business intelligence related data. This course was designed for data scientists who need to work with SQL databases. Specifically, it was designed to help these professionals learn how to perform common data science tasks, including exploration and extraction of data within relational databases.<br><br>Instructor Dan Sullivan kicks off the course with a brief overview of SQL data manipulation and data definition commands. He then focuses on how to use SQL queries to prepare data for analysis; leverage statistical functions to better understand that data; and work with aggregates, window operations, and more.",Course,2022-03-05 23:00 UTC,N/A,false,N/A,
SQL Code Challenges,"Want to assess your SQL skills? These concise challenges let you stretch your brain and test your talents. Get hands-on practice querying and retrieving data, adding new tables to existing databases, updating data in multiple tables and multiple records, and presenting summary data. LinkedIn Learning staff instructor Scott Simpson structures each challenge in real-world scenarios: a restaurant website that takes reservations and online orders, and a library lending system. After each challenge, Scott shares his own solution. You can see how a professional programmer creates personalized, data-driven documents; handles sign-up data; deletes records; prepares reports; and more.",Course,2021-07-28 12:10 UTC,N/A,false,N/A,
Agile Software Development: Scrum for Developers (2018),"Scrum is an agile framework that helps organizations deliver high-quality products to their customers. Learn how to use scrum and project management tools like Jira and Confluence to manage software development. This course takes a practical approach with real-life examples that show how scrum is executed. Instructor Shashi Shekhar covers scrum roles, rules, artifacts, and events and uses Jira and Confluence to show how popular software development tools can assist in scrum implementation.",Course,2021-10-25 10:50 UTC,N/A,false,N/A,
Sales Management Foundations,"When sales forces are managed well, companies drive more revenue. In this course, marketing professor Drew Boyd explains what sales management is, why it is important, and how you can get the skills you need to become an outstanding sales manager and recruit, train, retain, and manage a high-performing sales team. He reveals how to motivate individual salespeople and teams with compensation and quotas. Drew also provides an overview of creating and managing sales territories, including sales forecasting and evaluation of territories' performance. Last but not least, he shows you how to adapt all the lessons in this course to successfully manage in a remote/hybrid work environment.",Course,2022-02-21 23:06 UTC,N/A,false,N/A,
Supply Chain and Operations Management Tips,"<p>Supply chain and operations management is a profession that evolves quickly. Investing in your professional development will pay for itself in time and money. This series helps you review the latest in supply chain and operations management in bite-sized chunks. Logistics expert Daniel Stanton covers topics to improve your knowledge in operations and supply chain management. Learn about adopting strategic sourcing, enforcing supply chain security, minimizing the Bullwhip Effect, and more. You should leave each video knowing how to immediately apply your newfound knowledge to your role in operations-and directly increase the value you deliver to the customer. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-warehousing-operations-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2018-07-19 19:51 UTC,N/A,false,N/A,
Strategic Business Analysis Essentials,"Mastering strategy analysis can help set you up for success in the world of business. It can also help you become a better communicator and a trusted change advisor on your team. In this course, business consultant and instructor Christina Charenkova unpacks the IIBA guidance and shows you how to effectively map out and implement strategic business analysis to meet the specific needs of your organization.<br><br>Learn how strategic business analysis identifies, defines, scopes, and prioritizes projects in line with your goals and objectives. Explore tried-and-tested business analysis tools and techniques for leading your next big project or change initiative, with tips on conducting PESTLE analysis, Porter’s Five Forces, MOST analysis, Boston Box, and more. You’ll also learn to make your strategy more sustainable and people centered. Christina gives you a better understanding of what strategic business analysis actually entails—that way, it adds lasting value to your organization.",Course,2023-06-20 08:34 UTC,N/A,false,N/A,
Ten Tips for the C# Developer (2020),"C# and .NET are deep areas. Even if you’ve been a developer for years, there are bound to be features you don’t even know exist. In this course, take a look at some of the hidden or interesting methods that can help you write better code in this multifaceted programming language. Hear tips for improving your everyday workflows in C# development including a method to help avoid race conditions when working with a dictionary. Learn how to use pattern matching to create more expressive and readable code branches. Explore the new C# 8 slice operators and how and when to flatten a one-many relationship. Discover fresh tactics like how to and engage another programmer’s technique, use the DebuggerDisplay attribute to specify what information is shown, and more.",Course,2021-02-11 11:49 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Kat Norton,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>
Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with over one million social media followers—as she shares tips and answers to common questions about Microsoft Excel. Topics include removing and rearranging data using the PivotTable, creating custom number formats, scanning data from paper documents into Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2023-01-19 14:41 UTC,N/A,false,N/A,
Project Manager to Project Motivator: Unlock the Secrets of Strengths-Based Project Management,"Instead of just managing tasks or managing people, wouldn’t it be great to really motivate your team to do and be their best? Ruth Pearce, founder and lead facilitator of In It Together Coaching, walks you through how to become a project motivator. Ruth explains the benefits of project motivating and goes over how you can use your own strengths and can see the character strengths of others to empower your team to get things done. She discusses how to inspire others to strive for a goal and shows you how influence matters more than authority, when it comes to motivating teams. After covering the six steps to build a culture of appreciation, Ruth concludes by describing mindful use of character strengths and the project motivator’s mantra: be hopeful, be strong, be brave, and be curious.",Course,2021-12-09 07:40 UTC,N/A,false,N/A,
Become a Chief of Staff,"The chief of staff role has moved beyond politics and into corporations of all sizes. Brian Rumao has been the chief of staff to the CEO of LinkedIn, Jeff Weiner, for the last five years and in this course he shares his advice and experiences with you. Learn the common responsibilities and characteristics of a great chief of staff, how to get hired, and how to get off to a strong start. Discover best practices for managing operations, strategic initiatives, and leadership communications. Plus, get tips to make you more successful as you help the CEO, executive team, and company be more productive and effective. These lessons provide a launchpad for anyone who wants to become a chief of staff and succeed in this fast-growing, unique, and rewarding position.",Course,2021-11-26 21:41 UTC,N/A,false,N/A,
Excel: Advanced Formulas and Functions (2022),"Follow along with Excel expert Dennis Taylor as he demystifies the hundreds of formulas and functions available in Excel. Dennis starts with a few critical formula shortcuts that will speed up your work, then covers a variety of functions, such as VLOOKUP, MATCH, and INDEX, statistical functions, text functions, and date and time, math, text, and information functions. Dennis provides practical examples to help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios. Note that this course is recorded in Excel for Office 365 but anyone using a recent version—including 2019, 2016, and 2013—will be able to follow along.",Course,2021-10-13 06:51 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit (2020),"Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2021-05-04 10:03 UTC,N/A,false,N/A,
Programming Foundations: Web Services,"Web services drive communication on the web and they have been at the core of modern application architectures for many years. Regardless of what language or platform a developer is using, understanding how web services work is a critical skill.  David Gassner starts this course with a definition of web services and explores their history and use in distributed computing. He then explores the transport protocols HTTP and SMTP; messaging formats such as SOAP, ATOM, JSON, and Plain Old XML (POX); and service standards like SOAP toolkits, REST, and OData. Plus, learn how to secure your communications across the web with API keys and other security standards.<br><br>

Note: The course includes examples of a variety of server- and client-based implementations and coding excerpts in Java, JavaScript, C#, and PHP.",Course,2017-03-02 11:49 UTC,N/A,false,N/A,
Negotiating Your Job Offer,"Getting a job offer is a time to celebrate, but it's also important to stop and ask, ""What does my offer cover, and what can I negotiate?"" In this course, career coach Christine DiDonato helps professionals understand how to benchmark their job offers and make sure they are getting what they want. She explains how to answer key questions (such as  ""What is my current salary?""), understand what parts of an offer are negotiable, and prepare a counteroffer. She also addresses special situations, such as the importance of negotiating your first job offer, the challenges women often face in negotiations, and negotiating a new position within your current organization.",Course,2019-07-18 04:31 UTC,N/A,false,N/A,
Power BI: Dashboards for Beginners (2020),"Get a short and simple beginner's guide to Power BI. In this quick course, Joshua Rischin demystifies the process of building dashboards in Power BI, the powerful business analytics and data visualization tool from Microsoft. Joshua begins with a quick primer on how Power BI dashboards work, including the building blocks of a dashboard. Next, he shows how to select the right data and connect it to your dashboard. You can then learn how to prepare and adjust the dashboard’s layout, select and configure a chart type, apply dashboard filters, and enhance the dashboard in a number of useful ways. These lessons make it easy even for novice users to turn raw data into a powerful story that can help drive better business decisions.",Course,2021-02-18 10:26 UTC,N/A,false,N/A,
